tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100221111	0	live	LOC100221111		TIMELESS-interacting protein-like	TIMELESS-interacting protein-like		Un							
59729	Taeniopygia guttata	100221109	0	live	LOC100221109		BUD13 homolog	BUD13 homolog		24							
59729	Taeniopygia guttata	100221107	0	live	LOC100221107	ACTR8	actin-related protein 8	actin-related protein 8|ARP8 actin-related protein 8 homolog		12	NC_011476.1	7283956	7290954	minus	11		
59729	Taeniopygia guttata	100221103	0	live	LOC100221103		17-beta-hydroxysteroid dehydrogenase 13-like	17-beta-hydroxysteroid dehydrogenase 13-like		4							
59729	Taeniopygia guttata	100221095	0	live	LOC100221095		cytochrome P450 26B1	cytochrome P450 26B1		4							
59729	Taeniopygia guttata	100221092	0	live	LOC100221092		adiponectin-like	adiponectin-like		Un							
59729	Taeniopygia guttata	100221075	0	live	LOC100221075		cytochrome P450 2D18-like	cytochrome P450 2D18-like		9	NC_011473.1	17891527	17897140	minus	4		
59729	Taeniopygia guttata	100221073	0	live	LOC100221073		solute carrier family 25 member 33-like	solute carrier family 25 member 33-like		1	NC_011462.1	89747085	89755102	plus	7		
59729	Taeniopygia guttata	100221052	0	live	LOC100221052		leucine-rich repeat-containing protein 32-like	leucine-rich repeat-containing protein 32-like		1	NC_011462.1	113533809	113544279	minus	4		
59729	Taeniopygia guttata	100221047	0	live	LOC100221047		vinculin-like	vinculin-like		Un							
59729	Taeniopygia guttata	100221042	0	live	LOC100221042		carboxypeptidase A1-like	carboxypeptidase A1-like		1A	NC_011463.1	318823	323783	plus	11		
59729	Taeniopygia guttata	100221041	0	live	LOC100221041		cell cycle control protein 50C-like	LOW QUALITY PROTEIN: cell cycle control protein 50C-like		1	NC_011462.1	118469303	118478111	plus	7		
59729	Taeniopygia guttata	100221021	0	live	LOC100221021		Bardet-Biedl syndrome 12 protein homolog	Bardet-Biedl syndrome 12 protein homolog		4	NC_011467.1	5489305	5491844	plus	2		
59729	Taeniopygia guttata	100221005	0	live	LOC100221005		bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1	bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1		Un							
59729	Taeniopygia guttata	100220990	0	live	LOC100220990		AN1-type zinc finger protein 2A-like	AN1-type zinc finger protein 2A-like		Un							
59729	Taeniopygia guttata	100220983	0	live	LOC100220983		homeobox protein Hox-C6-like	LOW QUALITY PROTEIN: homeobox protein Hox-C6-like		Un							
59729	Taeniopygia guttata	100220978	0	live	LOC100220978		cytosolic phospholipase A2 epsilon-like	cytosolic phospholipase A2 epsilon-like		5	NC_011469.1	24289316	24321347	minus	21		
59729	Taeniopygia guttata	100220977	0	live	LOC100220977		electroneutral sodium bicarbonate exchanger 1-like	electroneutral sodium bicarbonate exchanger 1-like		Un							
59729	Taeniopygia guttata	100220976	0	live	LOC100220976		lanosterol 14-alpha demethylase	lanosterol 14-alpha demethylase		2	NC_011465.1	24794520	24806667	minus	11		
59729	Taeniopygia guttata	100220972	0	live	LOC100220972		swi5-dependent recombination DNA repair protein 1 homolog	swi5-dependent recombination DNA repair protein 1 homolog		Un							
59729	Taeniopygia guttata	100220969	0	live	LOC100220969	ADAM20	disintegrin and metalloproteinase domain-containing protein 20	disintegrin and metalloproteinase domain-containing protein 20|ADAM metallopeptidase domain 20		5	NC_011469.1	26615929	26618473	plus	1		
59729	Taeniopygia guttata	100220964	0	live	LOC100220964		aryl hydrocarbon receptor nuclear translocator-like protein 1	aryl hydrocarbon receptor nuclear translocator-like protein 1		Un							
59729	Taeniopygia guttata	100220949	0	live	LOC100220949		tetraspanin-15-like	LOW QUALITY PROTEIN: tetraspanin-15-like		Un							
59729	Taeniopygia guttata	100220946	0	live	LOC100220946		uncharacterized LOC100220946	uncharacterized protein LOC100220946		3	NC_011466.1	29281655	29297303	minus	9		
59729	Taeniopygia guttata	100220938	0	live	LOC100220938		peroxidasin homolog	peroxidasin homolog		20	NC_011484.1	9319810	9363713	plus	24		
59729	Taeniopygia guttata	100220936	0	live	LOC100220936		myosin-9-like	myosin-9-like		Un							
59729	Taeniopygia guttata	100220934	0	live	LOC100220934	OSBPL2	oxysterol-binding protein-related protein 2	oxysterol-binding protein-related protein 2|oxysterol binding protein-like 2		20	NC_011484.1	10844177	10851079	minus	7		
59729	Taeniopygia guttata	100220926	0	live	LOC100220926		probable JmjC domain-containing histone demethylation protein 2C	probable JmjC domain-containing histone demethylation protein 2C		Un							
59729	Taeniopygia guttata	100220924	0	live	LOC100220924		ribosyldihydronicotinamide dehydrogenase [quinone]-like	ribosyldihydronicotinamide dehydrogenase [quinone]-like		2	NC_011465.1	43075676	43081624	plus	6		
59729	Taeniopygia guttata	100220907	0	live	LOC100220907		protein phosphatase PTC7 homolog	protein phosphatase PTC7 homolog		Un							
59729	Taeniopygia guttata	100220906	0	live	LOC100220906		serine/threonine-protein kinase PAK 1-like	serine/threonine-protein kinase PAK 1-like		Z							
59729	Taeniopygia guttata	100220896	0	live	LOC100220896		PEX5-related protein	PEX5-related protein		Un							
59729	Taeniopygia guttata	100220872	0	live	LOC100220872		zinc finger protein 418-like	zinc finger protein 418-like		Un							
59729	Taeniopygia guttata	100220869	0	live	LOC100220869		coiled-coil domain-containing protein 42A-like	coiled-coil domain-containing protein 42A-like		4	NC_011467.1	63366470	63375795	plus	8		
59729	Taeniopygia guttata	100220868	0	live	LOC100220868		clathrin heavy chain 1-like	clathrin heavy chain 1-like		Un							
59729	Taeniopygia guttata	100220866	0	live	LOC100220866		cryptic protein-like	cryptic protein-like		Z	NC_011493.1	9177812	9181426	plus	6		
59729	Taeniopygia guttata	100220861	0	live	LOC100220861		uncharacterized oxidoreductase C663.06c-like	uncharacterized oxidoreductase C663.06c-like		11	NC_011475.1	4988524	4990104	plus	5		
59729	Taeniopygia guttata	100220853	0	live	LOC100220853	C11H19orf12	protein C19orf12 homolog	protein C19orf12 homolog		11	NC_011475.1	14587908	14596325	minus	6		
59729	Taeniopygia guttata	100220852	0	live	LOC100220852		uncharacterized LOC100220852	LOW QUALITY PROTEIN: uncharacterized protein LOC100220852		22							
59729	Taeniopygia guttata	100220846	0	live	LOC100220846		lethal(3)malignant brain tumor-like protein 3	lethal(3)malignant brain tumor-like protein 3|lethal(3)malignant brain tumor-like protein 4		23	NC_011487.1	289990	330550	minus	20		
59729	Taeniopygia guttata	100220842	0	live	LOC100220842		zinc finger protein 391-like	zinc finger protein 391-like		Un							
59729	Taeniopygia guttata	100220829	0	live	LOC100220829		probable G-protein coupled receptor 132	probable G-protein coupled receptor 132		8							
59729	Taeniopygia guttata	100220827	0	live	LOC100220827	BRAP	BRCA1-associated protein	BRCA1-associated protein		15	NC_011479.1	3832636	3845749	minus	11		
59729	Taeniopygia guttata	100220823	0	live	LOC100220823		pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial-like	pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial-like		Un							
59729	Taeniopygia guttata	100220817	0	live	LOC100220817	IL1R1	interleukin-1 receptor type 1	interleukin-1 receptor type 1|interleukin 1 receptor, type I		1	NC_011462.1	29819420	29840414	minus	14		
59729	Taeniopygia guttata	100220813	0	live	LOC100220813		zinc finger protein 2 homolog	zinc finger protein 2 homolog		Un							
59729	Taeniopygia guttata	100220810	0	live	LOC100220810		aldehyde dehydrogenase, mitochondrial-like	aldehyde dehydrogenase, mitochondrial-like		15	NC_011479.1	3910039	3921928	plus	10		
59729	Taeniopygia guttata	100220807	0	live	LOC100220807		pantetheinase-like	pantetheinase-like|vanin 1		3	NC_011466.1	59044724	59050556	plus	7		
59729	Taeniopygia guttata	100220796	0	live	LOC100220796	DPEP2	dipeptidase 2	dipeptidase 2		11	NC_011475.1	7231552	7241332	plus	11		
59729	Taeniopygia guttata	100220788	0	live	LOC100220788		ATP synthase subunit s, mitochondrial-like	ATP synthase subunit s, mitochondrial-like		Un							
59729	Taeniopygia guttata	100220786	0	live	LOC100220786		zinc finger protein 239-like	zinc finger protein 239-like		Un							
59729	Taeniopygia guttata	100220782	0	live	LOC100220782	ZCCHC17	nucleolar protein of 40 kDa	nucleolar protein of 40 kDa|putative S1 RNA binding domain protein|zinc finger, CCHC domain containing 17		23	NC_011487.1	1209771	1225624	plus	7		
59729	Taeniopygia guttata	100220779	0	live	LOC100220779		exocyst complex component 1-like	exocyst complex component 1-like		4A	NC_011468.1	16524735	16546082	minus	13		
59729	Taeniopygia guttata	100220775	0	live	LOC100220775		sodium channel protein type 2 subunit alpha-like	sodium channel protein type 2 subunit alpha-like		7	NC_011471.1	13014350	13075152	minus	29		
59729	Taeniopygia guttata	100220770	0	live	LOC100220770		collagen alpha-2(I) chain-like	collagen alpha-2(I) chain-like		Un							
59729	Taeniopygia guttata	100220768	0	live	LOC100220768		MKI67 FHA domain-interacting nucleolar phosphoprotein-like	MKI67 FHA domain-interacting nucleolar phosphoprotein-like		7	NC_011471.1	5960523	5964564	plus	5		
59729	Taeniopygia guttata	100220754	0	live	LOC100220754		gametocyte-specific factor 1-like	gametocyte-specific factor 1-like		27	NC_011491.1	833470	842814	plus	7		
59729	Taeniopygia guttata	100220752	0	live	LOC100220752	DDX26B	protein DDX26B	protein DDX26B|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B		4A	NC_011468.1	7011531	7033355	minus	17		
59729	Taeniopygia guttata	100220743	0	live	LOC100220743	TMEM185A	transmembrane protein 185A	transmembrane protein 185A		4A	NC_011468.1	13422084	13430594	minus	7		
59729	Taeniopygia guttata	100220741	0	live	LOC100220741		olfactory receptor 6F1-like	LOW QUALITY PROTEIN: olfactory receptor 6F1-like		27	NC_011491.1	3280093	3282986	minus	3		
59729	Taeniopygia guttata	100220740	0	live	LOC100220740		protein eva-1 homolog C-like	protein eva-1 homolog C-like		4A	NC_011468.1	15639573	15644558	minus	7		
59729	Taeniopygia guttata	100220738	0	live	LOC100220738		zinc finger protein 420-like			LGE22							
59729	Taeniopygia guttata	100220734	0	live	LOC100220734		WD repeat and coiled-coil-containing protein C2orf44 homolog	WD repeat and coiled-coil-containing protein C2orf44 homolog		3	NC_011466.1	107070376	107083688	minus	3		
59729	Taeniopygia guttata	100220733	0	live	LOC100220733		four and a half LIM domains protein 2	four and a half LIM domains protein 2		Un							
59729	Taeniopygia guttata	100220729	0	live	LOC100220729		trafficking kinesin-binding protein 1-like	trafficking kinesin-binding protein 1-like		Un							
59729	Taeniopygia guttata	100220728	0	live	LOC100220728		uncharacterized LOC100220728	uncharacterized protein LOC100220728		12	NC_011476.1	16834555	16871906	plus	11		
59729	Taeniopygia guttata	100220727	0	live	LOC100220727		olfactory receptor 5V1-like	olfactory receptor 5V1-like		1A							
59729	Taeniopygia guttata	100220721	0	live	LOC100220721		interleukin-1 receptor-associated kinase-like 2	interleukin-1 receptor-associated kinase-like 2		Un							
59729	Taeniopygia guttata	100220720	0	live	LOC100220720		collagen alpha-1(XXVIII) chain-like	LOW QUALITY PROTEIN: collagen alpha-1(XXVIII) chain-like		7	NC_011471.1	14333334	14365769	plus	34		
59729	Taeniopygia guttata	100220718	0	live	LOC100220718		secretin receptor-like	LOW QUALITY PROTEIN: secretin receptor-like		Un							
59729	Taeniopygia guttata	100220715	0	live	LOC100220715	SLC17A7	vesicular glutamate transporter 1	vesicular glutamate transporter 1|solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7		Un							
59729	Taeniopygia guttata	100220714	0	live	LOC100220714		26S proteasome non-ATPase regulatory subunit 1-like	26S proteasome non-ATPase regulatory subunit 1-like		Un							
59729	Taeniopygia guttata	100220712	0	live	LOC100220712		vasoactive intestinal polypeptide receptor-like	vasoactive intestinal polypeptide receptor-like		2	NC_011465.1	3305516	3333713	plus	13		
59729	Taeniopygia guttata	100220709	0	live	LOC100220709		serine/Arginine-related protein 53	serine/Arginine-related protein 53|arginine/serine-rich coiled-coil 1		9	NC_011473.1	25817416	25821189	minus	3		
59729	Taeniopygia guttata	100220705	0	live	LOC100220705		fatty acid amide hydrolase-like	fatty acid amide hydrolase-like		1	NC_011462.1	93013485	93017828	plus	6		
59729	Taeniopygia guttata	100220703	0	live	LOC100220703		netrin-1-like	netrin-1-like		18	NC_011482.1	4397839	4433325	plus	7		
59729	Taeniopygia guttata	100220698	0	live	LOC100220698		keratin, type I cytoskeletal 14-like	keratin, type I cytoskeletal 14-like		27	NC_011491.1	2128067	2131543	minus	8		
59729	Taeniopygia guttata	100220690	0	live	LOC100220690		ras-related and estrogen-regulated growth inhibitor-like protein	ras-related and estrogen-regulated growth inhibitor-like protein		10	NC_011474.1	12856586	12858619	minus	4		
59729	Taeniopygia guttata	100220689	0	live	LOC100220689		beta-TrCP-like	beta-TrCP-like		Un							
59729	Taeniopygia guttata	100220687	0	live	LOC100220687		chitobiosyldiphosphodolichol beta-mannosyltransferase-like	chitobiosyldiphosphodolichol beta-mannosyltransferase-like		14	NC_011478.1	1428759	1437507	minus	9		
59729	Taeniopygia guttata	100220676	0	live	LOC100220676		muscarinic acetylcholine receptor M2-like	LOW QUALITY PROTEIN: muscarinic acetylcholine receptor M2-like		Un							
59729	Taeniopygia guttata	100220656	0	live	LOC100220656		RWD domain-containing protein 4-like	RWD domain-containing protein 4-like		Un							
59729	Taeniopygia guttata	100220651	0	live	LOC100220651		olfactory receptor 14J1-like	olfactory receptor 14J1-like		Un							
59729	Taeniopygia guttata	100220650	0	live	LOC100220650		probable glutamate receptor	probable glutamate receptor		21	NC_011485.1	3341040	3352609	minus	10		
59729	Taeniopygia guttata	100220648	0	live	LOC100220648		calpain-3-like	calpain-3-like		Un							
59729	Taeniopygia guttata	100220647	0	live	LOC100220647	OPN4X	melanopsin	melanopsin		4	NC_011467.1	18542744	18573037	plus	10		
59729	Taeniopygia guttata	100220645	0	live	LOC100220645		retinol dehydrogenase 8-like	retinol dehydrogenase 8-like		8	NC_011472.1	10338278	10344861	minus	6		
59729	Taeniopygia guttata	100220634	0	live	LOC100220634		transmembrane protease serine 11E-like	transmembrane protease serine 11E-like		4	NC_011467.1	25371978	25412302	plus	10		
59729	Taeniopygia guttata	100220618	0	live	LOC100220618		proactivator polypeptide-like	proactivator polypeptide-like		6	NC_011470.1	2213875	2218485	plus	12		
59729	Taeniopygia guttata	100220615	0	live	LOC100220615		COMM domain-containing protein 6-like	COMM domain-containing protein 6-like		Un							
59729	Taeniopygia guttata	100220612	0	live	LOC100220612		feather beta keratin-like	feather beta keratin-like		Un							
59729	Taeniopygia guttata	100220603	0	live	LOC100220603		arylacetamide deacetylase-like 4	arylacetamide deacetylase-like 4		21	NC_011485.1	1337584	1340848	plus	3		
59729	Taeniopygia guttata	100220601	0	live	LOC100220601		sulfotransferase 1 family member D1-like	sulfotransferase 1 family member D1-like		4	NC_011467.1	25257063	25266523	plus	8		
59729	Taeniopygia guttata	100220598	0	live	LOC100220598		NAD kinase	NAD kinase		21	NC_011485.1	2999064	3079677	minus	12		
59729	Taeniopygia guttata	100220592	0	live	LOC100220592		myosin heavy chain, skeletal muscle, adult-like	myosin heavy chain, skeletal muscle, adult-like		Un							
59729	Taeniopygia guttata	100220590	0	live	LOC100220590		clarin-3	clarin-3		6	NC_011470.1	34107080	34118931	minus	4		
59729	Taeniopygia guttata	100220582	0	live	LOC100220582		transforming growth factor-beta receptor-associated protein 1-like	transforming growth factor-beta receptor-associated protein 1-like		Un							
59729	Taeniopygia guttata	100220580	0	live	LOC100220580		gem-associated protein 4-like	LOW QUALITY PROTEIN: gem-associated protein 4-like		Un							
59729	Taeniopygia guttata	100220579	0	live	LOC100220579	RPL3	60S ribosomal protein L3	60S ribosomal protein L3|ribosomal protein L3		1A	NC_011463.1	50335562	50342597	plus	10		
59729	Taeniopygia guttata	100220557	0	live	LOC100220557		solute carrier organic anion transporter family member 1C1-like	solute carrier organic anion transporter family member 1C1-like		1A	NC_011463.1	59603354	59625436	minus	17		
59729	Taeniopygia guttata	100220554	0	live	LOC100220554		olfactory receptor 14I1-like	olfactory receptor 14I1-like		Un							
59729	Taeniopygia guttata	100220543	0	live	LOC100220543		histone H2B 1/2/3/4/6	histone H2B 1/2/3/4/6		1A	NC_011463.1	47553716	47554136	plus	1		
59729	Taeniopygia guttata	100220542	0	live	LOC100220542		vacuolar protein sorting-associated protein 4A-like	vacuolar protein sorting-associated protein 4A-like		11							
59729	Taeniopygia guttata	100220534	0	live	LOC100220534		solute carrier family 23 member 1-like	LOW QUALITY PROTEIN: solute carrier family 23 member 1-like		1A	NC_011463.1	47234705	47254844	plus	12		
59729	Taeniopygia guttata	100220533	0	live	LOC100220533		serine/threonine-protein kinase pim-1-like	serine/threonine-protein kinase pim-1-like		Un							
59729	Taeniopygia guttata	100220527	0	live	LOC100220527		pre-mRNA-processing factor 6 pseudogene			Un							
59729	Taeniopygia guttata	100220523	0	live	LOC100220523		uncharacterized LOC100220523			1	NC_011462.1	54198424	54211864	minus	2		
59729	Taeniopygia guttata	100220521	0	live	LOC100220521		GRAM domain-containing protein 1B-like	GRAM domain-containing protein 1B-like		24	NC_011488.1	5199244	5214311	plus	9		
59729	Taeniopygia guttata	100220508	0	live	LOC100220508		tripartite motif-containing protein 7-like	tripartite motif-containing protein 7-like		16							
59729	Taeniopygia guttata	100220488	0	live	LOC100220488		leucine-rich repeat-containing protein 17 pseudogene			Un							
59729	Taeniopygia guttata	100220484	0	live	LOC100220484		disintegrin and metalloproteinase domain-containing protein 9-like	disintegrin and metalloproteinase domain-containing protein 9-like		6	NC_011470.1	31966525	31983299	plus	20		
59729	Taeniopygia guttata	100220483	0	live	LOC100220483		nucleolar RNA helicase 2-like	nucleolar RNA helicase 2-like		Un							
59729	Taeniopygia guttata	100220477	0	live	LOC100220477		ATP-binding cassette sub-family A member 5-like	ATP-binding cassette sub-family A member 5-like		18							
59729	Taeniopygia guttata	100220475	0	live	LOC100220475		interphotoreceptor matrix proteoglycan 2-like	LOW QUALITY PROTEIN: interphotoreceptor matrix proteoglycan 2-like		Un							
59729	Taeniopygia guttata	100220471	0	live	LOC100220471		CCR4-NOT transcription complex subunit 8-like	CCR4-NOT transcription complex subunit 8-like		Un							
59729	Taeniopygia guttata	100220460	0	live	LOC100220460		malate dehydrogenase, cytoplasmic-like	malate dehydrogenase, cytoplasmic-like		3	NC_011466.1	1480683	1488274	plus	5		
59729	Taeniopygia guttata	100220459	0	live	LOC100220459		transcription initiation factor IIA subunit 1-like	transcription initiation factor IIA subunit 1-like		Un							
59729	Taeniopygia guttata	100220456	0	live	LOC100220456		ralA-binding protein 1-like	ralA-binding protein 1-like		2							
59729	Taeniopygia guttata	100220454	0	live	LOC100220454		zinc finger protein 239-like	zinc finger protein 239-like		Un							
59729	Taeniopygia guttata	100220450	0	live	LOC100220450		pterin-4-alpha-carbinolamine dehydratase	pterin-4-alpha-carbinolamine dehydratase		Un							
59729	Taeniopygia guttata	100220447	0	live	LOC100220447		intraflagellar transport protein 57 homolog	intraflagellar transport protein 57 homolog		Un							
59729	Taeniopygia guttata	100220434	0	live	LOC100220434		homeobox protein Hox-D9	homeobox protein Hox-D9|homeobox protein Hox-B9-like		27	NC_011491.1	4533476	4533711	minus	1		
59729	Taeniopygia guttata	100220430	0	live	LOC100220430		ovomucoid-like	ovomucoid-like		13	NC_011477.1	3881295	3886436	plus	8		
59729	Taeniopygia guttata	100220428	0	live	LOC100220428		sestrin-3-like	sestrin-3-like		4A	NC_011468.1	20049981	20056350	plus	9		
59729	Taeniopygia guttata	100220427	0	live	LOC100220427		deoxycytidine kinase-like	deoxycytidine kinase-like		13	NC_011477.1	7359079	7364657	minus	8		
59729	Taeniopygia guttata	100220421	0	live	LOC100220421		galanin peptides	galanin peptides		Un							
59729	Taeniopygia guttata	100220418	0	live	LOC100220418		synaptotagmin-9-like	synaptotagmin-9-like		5	NC_011469.1	4447131	4451603	plus	4		
59729	Taeniopygia guttata	100220416	0	live	LOC100220416		calcium/calmodulin-dependent protein kinase type IV-like	calcium/calmodulin-dependent protein kinase type IV-like|Eph ligand family-1		28	NC_011492.1	4146242	4158353	minus	10		
59729	Taeniopygia guttata	100220412	0	live	LOC100220412		avidin-like	avidin-like		Z	NC_011493.1	39845961	39847342	plus	4		
59729	Taeniopygia guttata	100220411	0	live	LOC100220411		F-box only protein 33-like	LOW QUALITY PROTEIN: F-box only protein 33-like		Un							
59729	Taeniopygia guttata	100220410	0	live	LOC100220410		feather beta keratin-like	feather beta keratin-like		2	NC_011465.1	156037629	156037940	minus	1		
59729	Taeniopygia guttata	100220408	0	live	LOC100220408		ATP-binding cassette sub-family A member 1-like	LOW QUALITY PROTEIN: ATP-binding cassette sub-family A member 1-like		28							
59729	Taeniopygia guttata	100220406	0	live	LOC100220406		peptidyl-prolyl cis-trans isomerase FKBP9-like	LOW QUALITY PROTEIN: peptidyl-prolyl cis-trans isomerase FKBP9-like		2							
59729	Taeniopygia guttata	100220405	0	live	LOC100220405		Meckel syndrome type 1 protein-like	LOW QUALITY PROTEIN: Meckel syndrome type 1 protein-like		19	NC_011483.1	3131646	3143744	minus	17		
59729	Taeniopygia guttata	100220402	0	live	LOC100220402	RAB10	uncharacterized LOC100220402	RAB10, member RAS oncogene family		3							
59729	Taeniopygia guttata	100220401	0	live	LOC100220401		hepatic leukemia factor-like	LOW QUALITY PROTEIN: hepatic leukemia factor-like		Un							
59729	Taeniopygia guttata	100220397	0	live	LOC100220397		spermatogenesis-associated protein 6-like	spermatogenesis-associated protein 6-like		Un							
59729	Taeniopygia guttata	100220390	0	live	LOC100220390		UPF0565 protein C2orf69-like			7	NC_011471.1	22494703	22495682	minus	0		
59729	Taeniopygia guttata	100220389	0	live	LOC100220389		meiotic recombination protein DMC1/LIM15 homolog	meiotic recombination protein DMC1/LIM15 homolog		Un							
59729	Taeniopygia guttata	100220385	0	live	LOC100220385		multidrug and toxin extrusion protein 2-like	LOW QUALITY PROTEIN: multidrug and toxin extrusion protein 2-like		19	NC_011483.1	8376848	8385201	minus	17		
59729	Taeniopygia guttata	100220382	0	live	LOC100220382		protein SDA1 homolog	LOW QUALITY PROTEIN: protein SDA1 homolog		Un							
59729	Taeniopygia guttata	100220381	0	live	LOC100220381		sodium channel protein type 5 subunit alpha-like	LOW QUALITY PROTEIN: sodium channel protein type 5 subunit alpha-like		2	NC_011465.1	5744428	5793293	plus	35		
59729	Taeniopygia guttata	100220375	0	live	LOC100220375		maestro heat-like repeat-containing protein family member 6	maestro heat-like repeat-containing protein family member 6		7	NC_011471.1	27471353	27477234	minus	14		
59729	Taeniopygia guttata	100220374	0	live	LOC100220374		rRNA-processing protein UTP23 homolog	rRNA-processing protein UTP23 homolog		Un							
59729	Taeniopygia guttata	100220369	0	live	LOC100220369		feather keratin Cos2-2-like	feather keratin Cos2-2-like		27							
59729	Taeniopygia guttata	100220362	0	live	LOC100220362	UNC13A	protein unc-13 homolog A	protein unc-13 homolog A|unc-13 homolog A		28	NC_011492.1	993993	1024055	plus	34		
59729	Taeniopygia guttata	100220359	0	live	LOC100220359		neurocalcin-delta pseudogene			Un							
59729	Taeniopygia guttata	100220357	0	live	LOC100220357		importin subunit alpha-5-like	importin subunit alpha-5-like		1							
59729	Taeniopygia guttata	100220352	0	live	LOC100220352		serine/threonine-protein kinase pim-1-like	serine/threonine-protein kinase pim-1-like		Un							
59729	Taeniopygia guttata	100220331	0	live	LOC100220331		endophilin-B2-like	endophilin-B2-like		Un							
59729	Taeniopygia guttata	100220322	0	live	LOC100220322		glyoxylate reductase/hydroxypyruvate reductase-like	glyoxylate reductase/hydroxypyruvate reductase-like		2	NC_011465.1	75503555	75506165	plus	4		
59729	Taeniopygia guttata	100220311	0	live	LOC100220311		ras GTPase-activating-like protein IQGAP1	LOW QUALITY PROTEIN: ras GTPase-activating-like protein IQGAP1		10	NC_011474.1	20750995	20803802	plus	38		
59729	Taeniopygia guttata	100220309	0	live	LOC100220309		probable ATP-dependent RNA helicase DDX59	probable ATP-dependent RNA helicase DDX59		Un							
59729	Taeniopygia guttata	100220305	0	live	LOC100220305	TMED3	transmembrane emp24 domain-containing protein 3	transmembrane emp24 domain-containing protein 3|transmembrane emp24 protein transport domain containing 3		10							
59729	Taeniopygia guttata	100220302	0	live	LOC100220302		dual specificity protein phosphatase 13 isoform B-like	dual specificity protein phosphatase 13 isoform B-like		6	NC_011470.1	13771865	13774847	plus	3		
59729	Taeniopygia guttata	100220288	0	live	LOC100220288		general transcription factor IIE subunit 1-like	general transcription factor IIE subunit 1-like		4	NC_011467.1	40922184	40925631	plus	4		
59729	Taeniopygia guttata	100220263	0	live	LOC100220263		putative lysosomal acid lipase/cholesteryl ester hydrolase	putative lysosomal acid lipase/cholesteryl ester hydrolase		6	NC_011470.1	3454591	3464353	minus	9		
59729	Taeniopygia guttata	100220262	0	live	LOC100220262		sulfotransferase 6B1-like	LOW QUALITY PROTEIN: sulfotransferase 6B1-like		3	NC_011466.1	40909082	40916617	plus	8		
59729	Taeniopygia guttata	100220255	0	live	LOC100220255	ALG10B	putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	LOW QUALITY PROTEIN: putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase|asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)|asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog B		1A	NC_011463.1	14946869	14950806	minus	4		
59729	Taeniopygia guttata	100220241	0	live	LOC100220241		matrix metalloproteinase-23-like	matrix metalloproteinase-23-like		Un							
59729	Taeniopygia guttata	100220227	0	live	LOC100220227		UDP-glucuronosyltransferase 1-1-like	UDP-glucuronosyltransferase 1-1-like		7	NC_011471.1	1314505	1315592	minus	2		
59729	Taeniopygia guttata	100220223	0	live	LOC100220223		histamine H3 receptor	histamine H3 receptor		2	NC_011465.1	109165320	109255497	plus	4		
59729	Taeniopygia guttata	100220219	0	live	LOC100220219		translocon-associated protein subunit beta-like			25	NC_011489.1	577303	582099	plus	6		
59729	Taeniopygia guttata	100220217	0	live	LOC100220217		ras association domain-containing protein 2-like	ras association domain-containing protein 2-like		Un							
59729	Taeniopygia guttata	100220216	0	live	LOC100220216		SHC SH2 domain-binding protein 1-like			3	NC_011466.1	97277060	97279543	plus	0		
59729	Taeniopygia guttata	100220210	0	live	LOC100220210		magnesium transporter NIPA4-like	magnesium transporter NIPA4-like		Un							
59729	Taeniopygia guttata	100220197	0	live	LOC100220197		Y+L amino acid transporter 2-like	Y+L amino acid transporter 2-like		2	NC_011465.1	130616103	130627066	plus	9		
59729	Taeniopygia guttata	100220195	0	live	LOC100220195		WW domain-binding protein 11-like	WW domain-binding protein 11-like		Un							
59729	Taeniopygia guttata	100220191	0	live	LOC100220191	TRPV5, TRPV6	transient receptor potential cation channel subfamily V member 6	transient receptor potential cation channel subfamily V member 6|transient receptor potential cation channel, subfamily V, member 5		1	NC_011462.1	89239527	89261848	minus	15		
59729	Taeniopygia guttata	100220162	0	live	LOC100220162		aryl hydrocarbon receptor-like	aryl hydrocarbon receptor-like		7	NC_011471.1	1968543	1999508	plus	13		
59729	Taeniopygia guttata	100220160	0	live	LOC100220160		FSD1-like protein	LOW QUALITY PROTEIN: FSD1-like protein		3	NC_011466.1	93114047	93118948	plus	3		
59729	Taeniopygia guttata	100220157	0	live	LOC100220157		transmembrane protease serine 13-like	transmembrane protease serine 13-like		24							
59729	Taeniopygia guttata	100220151	0	live	LOC100220151		protein S100-A9-like	protein S100-A9-like		25	NC_011489.1	622011	626193	plus	4		
